# Stepping through 194.225.0.0/16 every 1 IPs
194.225.16.2  mailhub.ams.ac.ir
194.225.16.4  parsa.ams.ac.ir
194.225.16.5  razi.ams.ac.ir
194.225.16.9  encme.digilibmei.ir
194.225.16.16  post.ams.ac.ir
194.225.16.20  jtiim.ams.ac.ir
194.225.16.87  admin1.ams.ac.ir
194.225.16.179  aim.aimjournal.ir.16.225.194.in-addr.arpa
194.225.17.14  arya
194.225.17.16  Server-1
194.225.24.11  ns.sbu.ac.ir
194.225.24.16  simweb.sbu.ac.ir
194.225.24.24  cc.sbu.ac.ir
194.225.24.24  std.sbu.ac.ir
194.225.24.24  stf.sbu.ac.ir
194.225.24.24  pmail.cc.sbu.ac.ir
194.225.24.24  pmail.sbu.ac.ir
194.225.24.24  pmail.std.sbu.ac.ir
194.225.24.24  pmail.stf.sbu.ac.ir
194.225.24.33  mail.sbu.ac.ir
194.225.24.33  signup.webmail.sbu.ac.ir
194.225.24.33  webmail.sbu.ac.ir
194.225.24.93  peyk.sbu.ac.ir
194.225.24.93  peykadmin.sbu.ac.ir
194.225.24.103  nat2.sbu.ac.ir
194.225.24.110  mirror.mit-ocw.sbu.ac.ir
194.225.24.202  nat3.sbu.ac.ir
194.225.28.102  hpclp.sbu.ac.ir
194.225.28.203  gss.sbu.ac.ir
194.225.29.7  golestan.sbu.ac.ir
194.225.29.10  nat1.sbu.ac.ir
194.225.40.1  Router1.sharif.ac.ir
194.225.40.3  Router2.sharif.ac.ir
194.225.40.5  homa.sharif.ac.ir
194.225.40.6  eram.sharif.ac.ir
194.225.40.11  aria.SchoolNet.ir
194.225.40.12  mehr.Sharif.edu
194.225.40.13  aria.SchoolNet.ir
194.225.40.17  Sina.Sharif.edu
194.225.40.18  ftp.Sharif.edu
194.225.40.19  philsc.sharif.ac.ir
194.225.40.19  philos.sharif.ac.ir
194.225.40.22  sutcc.sharif.ac.ir
194.225.40.30  math.Sharif.edu
194.225.40.31  physics.Sharif.edu
194.225.40.32  civil.Sharif.edu
194.225.40.33  mech.Sharif.edu
194.225.40.34  ee.Sharif.edu
194.225.40.35  che.Sharif.edu
194.225.40.36  ch.Sharif.edu
194.225.40.37  ind.Sharif.edu
194.225.40.38  mtl.Sharif.edu
194.225.40.39  ae.Sharif.edu
194.225.40.40  alumni.Sharif.edu
194.225.40.41  behzad.sharif.ac.ir
194.225.40.43  sepehr.sharif.ac.ir
194.225.40.45  rose.sharif.ac.ir
194.225.40.46  pigeon.sharif.ac.ir
194.225.40.46  civilhub.sharif.ac.ir
194.225.40.47  cchub.sharif.ac.ir
194.225.40.47  cc1100.sharif.ac.ir
194.225.40.48  router.sharif.ac.ir
194.225.40.50  aero.Sharif.edu
194.225.40.55  chemicaleng.Sharif.edu
194.225.40.56  DVB-rec.Shabakieh.co.ir
194.225.40.57  sima.sharif.ac.ir
194.225.40.58  RnD.sharif.ac.ir
194.225.40.60  marmon.Sharif.edu
194.225.40.60  marimon.Sharif.edu
194.225.40.100  ce.sharif.ac.ir
194.225.40.105  mech.sharif.ac.ir
