78.157.60.21  server255.dnslake.com
78.157.60.22  server265.dnslake.com
78.157.60.27  server263.dnslake.com
78.157.60.30  mail.radcom.ir
78.157.60.50  server213.dnslake.com
78.157.60.51  server214.dnslake.com
78.157.60.52  server211.dnslake.com
78.157.60.53  server211.dnslake.com
78.157.60.53  ct6053.dnslake.com
78.157.60.54  server211.dnslake.com
78.157.60.54  ct6054.dnslake.com
78.157.60.55  server211.dnslake.com
78.157.60.55  ct6055.dnslake.com
78.157.60.56  ct6056.dnslake.com
78.157.60.56  server211.dnslake.com
78.157.60.57  ct6057.dnslake.com
78.157.60.57  server211.dnslake.com
78.157.60.58  ct6058.dnslake.com
78.157.60.58  server211.dnslake.com
78.157.60.59  ct6059.dnslake.com
78.157.60.59  server211.dnslake.com
78.157.60.60  server206.dnslake.com
78.157.60.61  ct2061.dnslake.com
78.157.60.62  ct2062.dnslake.com
78.157.60.63  ct2063.dnslake.com
78.157.60.64  ct2064.dnslake.com
78.157.60.65  ct2065.dnslake.com
78.157.60.66  ct2066.dnslake.com
78.157.60.67  ct2067.dnslake.com
78.157.60.68  ct2068.dnslake.com
78.157.60.69  ct2069.dnslake.com
78.157.60.70  server215.dnslake.com
78.157.60.71  ct6071.dnslake.com
78.157.60.71  server215.dnslake.com
78.157.60.72  server215.dnslake.com
78.157.60.72  ct6072.dnslake.com
78.157.60.73  ct6073.dnslake.com
78.157.60.73  server215.dnslake.com
78.157.60.74  server215.dnslake.com
78.157.60.74  ct6074.dnslake.com
78.157.60.75  server215.dnslake.com
78.157.60.75  ct6075.dnslake.com
78.157.60.76  ct6076.dnslake.com
78.157.60.76  server215.dnslake.com
78.157.60.77  server215.dnslake.com
78.157.60.77  ct6077.dnslake.com
78.157.60.78  server215.dnslake.com
78.157.60.78  ct6078.dnslake.com
78.157.60.79  ct6079.dnslake.com
78.157.60.79  server215.dnslake.com
78.157.60.80  server216.dnslake.com
78.157.60.81  server217.dnslake.com
78.157.60.82  ct6082.dnslake.com
78.157.60.83  ct6083.dnslake.com
78.157.60.84  ct6084.dnslake.com
78.157.60.85  ct6085.dnslake.com
78.157.60.86  ct6086.dnslake.com
78.157.60.87  ct6087.dnslake.com
78.157.60.88  ct6088.dnslake.com
78.157.60.89  ct6089.dnslake.com
78.157.60.90  ct6090.dnslake.com
78.157.60.112  mail.persianprocess.com
78.157.60.116  server218.dnslake.com
78.157.60.117  server219.dnslake.com
78.157.60.118  server218.dnslake.com
78.157.60.118  server220.dnslake.com
78.157.60.119  mowj4.ir
78.157.60.119  server218.dnslake.com
78.157.60.120  server218.dnslake.com
78.157.60.121  server218.dnslake.com
78.157.60.122  server218.dnslake.com
78.157.60.123  server218.dnslake.com
78.157.60.124  server222.dnslake.com
78.157.60.126  server223.dnslake.com
78.157.60.128  gs.niopdc.ir
78.157.60.129  guilan.niopdc.ir
78.157.60.129  jaigah.niopdc.ir
78.157.60.129  kerman.niopdc.ir
78.157.60.129  qazvin.niopdc.ir
78.157.60.129  tehran.niopdc.ir
78.157.60.129  zanjan.niopdc.ir
78.157.60.129  behineh.niopdc.ir
78.157.60.129  bushehr.niopdc.ir
78.157.60.129  chaloos.niopdc.ir
78.157.60.129  hamedan.niopdc.ir
78.157.60.129  isfahan.niopdc.ir
78.157.60.129  markazi.niopdc.ir
78.157.60.129  orumieh.niopdc.ir
78.157.60.129  zahedan.niopdc.ir
78.157.60.129  bojnoord.niopdc.ir
78.157.60.129  booshehr.niopdc.ir
78.157.60.129  chabahar.niopdc.ir
78.157.60.129  golestan.niopdc.ir
78.157.60.129  lorestan.niopdc.ir
78.157.60.129  miandoab.niopdc.ir
78.157.60.131  smartermail.niopdc.ir
78.157.60.136  server221.dnslake.com
78.157.60.137  server224.dnslake.com
78.157.60.138  server225.dnslake.com
78.157.60.139  server226.dnslake.com
78.157.60.141  server227.dnslake.com
78.157.60.142  server228.dnslake.com
78.157.60.143  server229.dnslake.com
78.157.60.144  server230.dnslake.com
78.157.60.145  server228.dnslake.com
78.157.60.146  server231.dnslake.com
78.157.60.151  server210.dnslake.com
78.157.60.164  farjadsystem.com
78.157.60.166  irjournals.com
78.157.60.170  server233.dnslake.com
78.157.60.172  server234.dnslake.com
78.157.60.173  server235.dnslake.com
78.157.60.174  server236.dnslake.com
78.157.60.175  server237.dnslake.com
78.157.60.201  server239.dnslake.com
78.157.60.202  server240.dnslake.com
78.157.60.208  server204.dnslake.com
