response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
echoreply, 196.29.167.22, 85.25.0.0, 0, 13827, 3388735488, 0, 0, 0,2013-09-26 03:05:24.282
echoreply, 196.1.198.25, 85.25.0.0, 0, 35166, 1990262784, 0, 0, 0,2013-09-26 03:05:24.300
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 03:05:24.320
echoreply, 197.254.213.27, 85.25.0.0, 0, 44471, 1380450304, 0, 0, 0,2013-09-26 03:05:24.322
unreach, 196.29.175.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:24.357
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 03:05:24.370
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 03:05:24.378
echoreply, 197.254.213.233, 85.25.0.0, 0, 26308, 2570780672, 0, 0, 0,2013-09-26 03:05:24.398
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.429
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:24.436
echoreply, 41.67.38.240, 85.25.0.0, 0, 39982, 1674641408, 0, 0, 0,2013-09-26 03:05:24.447
echoreply, 41.202.166.216, 85.25.0.0, 0, 46366, 1256259584, 0, 0, 0,2013-09-26 03:05:24.448
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 03:05:24.450
echoreply, 196.1.198.199, 85.25.0.0, 0, 19940, 2988113920, 0, 0, 0,2013-09-26 03:05:24.479
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:24.490
echoreply, 197.251.20.43, 85.25.0.0, 0, 41937, 1546518528, 0, 0, 0,2013-09-26 03:05:24.491
echoreply, 41.202.166.64, 85.25.0.0, 0, 10534, 3604545536, 0, 0, 0,2013-09-26 03:05:24.510
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.517
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.526
echoreply, 41.67.1.21, 85.25.0.0, 0, 8569, 3733323776, 0, 0, 0,2013-09-26 03:05:24.530
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.532
timxceed, 197.251.125.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.550
echoreply, 196.29.186.151, 85.25.0.0, 0, 59282, 409796608, 0, 0, 0,2013-09-26 03:05:24.560
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.569
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.574
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.575
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.581
echoreply, 196.29.168.30, 85.25.0.0, 0, 23408, 2760835072, 0, 0, 0,2013-09-26 03:05:24.588
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.592
echoreply, 41.67.20.89, 85.25.0.0, 0, 23237, 2772041728, 0, 0, 0,2013-09-26 03:05:24.598
timxceed, 197.251.125.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.629
echoreply, 197.254.213.238, 85.25.0.0, 0, 31210, 2249523200, 0, 0, 0,2013-09-26 03:05:24.640
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.655
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.682
echoreply, 196.1.219.119, 85.25.0.0, 0, 18444, 3086155776, 0, 0, 0,2013-09-26 03:05:24.693
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.706
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.727
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.748
unreach, 41.67.17.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:24.772
echoreply, 41.202.161.138, 85.25.0.0, 0, 23355, 2764308480, 0, 0, 0,2013-09-26 03:05:24.806
echoreply, 196.29.186.67, 85.25.0.0, 0, 42019, 1541144576, 0, 0, 0,2013-09-26 03:05:24.813
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 03:05:24.814
echoreply, 197.254.213.129, 85.25.0.0, 0, 64366, 76611584, 0, 0, 0,2013-09-26 03:05:24.836
echoreply, 196.29.186.5, 85.25.0.0, 0, 60223, 348127232, 0, 0, 0,2013-09-26 03:05:24.855
unreach, 196.29.175.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:24.875
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.889
echoreply, 41.78.108.92, 85.25.0.0, 0, 64521, 66453504, 0, 0, 0,2013-09-26 03:05:24.893
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:24.927
echoreply, 41.202.161.5, 85.25.0.0, 0, 63778, 115146752, 0, 0, 0,2013-09-26 03:05:24.932
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:24.940
echoreply, 197.254.255.211, 85.25.0.0, 0, 28012, 2459107328, 0, 0, 0,2013-09-26 03:05:24.942
echoreply, 197.254.212.202, 85.25.0.0, 0, 32229, 2182742016, 0, 0, 0,2013-09-26 03:05:24.976
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.006
echoreply, 196.29.168.210, 85.25.0.0, 0, 2370, 4139581440, 0, 0, 0,2013-09-26 03:05:25.025
timxceed, 196.29.185.182, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.071
echoreply, 196.29.186.147, 85.25.0.0, 0, 47784, 1163329536, 0, 0, 0,2013-09-26 03:05:25.087
timxceed, 196.29.185.225, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.095
echoreply, 197.254.253.187, 85.25.0.0, 0, 14616, 3337027584, 0, 0, 0,2013-09-26 03:05:25.107
echoreply, 197.254.213.183, 85.25.0.0, 0, 57808, 506396672, 0, 0, 0,2013-09-26 03:05:25.108
echoreply, 197.254.252.141, 85.25.0.0, 0, 39871, 1681915904, 0, 0, 0,2013-09-26 03:05:25.169
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:25.172
echoreply, 41.67.10.2, 85.25.0.0, 0, 61893, 238682112, 0, 0, 0,2013-09-26 03:05:25.184
echoreply, 41.202.160.9, 85.25.0.0, 0, 18054, 3111714816, 0, 0, 0,2013-09-26 03:05:25.192
echoreply, 41.67.34.100, 85.25.0.0, 0, 62592, 192872448, 0, 0, 0,2013-09-26 03:05:25.199
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.207
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.212
echoreply, 196.29.169.210, 85.25.0.0, 0, 48867, 1092354048, 0, 0, 0,2013-09-26 03:05:25.214
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.217
timxceed, 197.251.125.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.219
echoreply, 197.254.212.14, 85.25.0.0, 0, 13723, 3395551232, 0, 0, 0,2013-09-26 03:05:25.231
echoreply, 41.202.166.219, 85.25.0.0, 0, 7526, 3801677824, 0, 0, 0,2013-09-26 03:05:25.232
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.233
unreach, 196.29.167.62, 85.25.0.0, 781, 64754, 0, 1157627944, 0, 0,2013-09-26 03:05:25.235
timxceed, 41.67.59.5, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.237
timxceed, 41.67.59.5, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.237
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 03:05:25.256
echoreply, 197.254.212.32, 85.25.0.0, 0, 25886, 2598436864, 0, 0, 0,2013-09-26 03:05:25.265
echoreply, 197.254.212.211, 85.25.0.0, 0, 12791, 3456630784, 0, 0, 0,2013-09-26 03:05:25.267
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.274
unreach, 41.67.17.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:25.282
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 03:05:25.292
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.340
timxceed, 41.67.59.6, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.341
echoreply, 197.254.212.168, 85.25.0.0, 0, 22484, 2821390336, 0, 0, 0,2013-09-26 03:05:25.345
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.402
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 03:05:25.429
echoreply, 41.202.167.26, 85.25.0.0, 0, 61398, 271122432, 0, 0, 0,2013-09-26 03:05:25.432
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:25.444
echoreply, 196.29.185.165, 85.25.0.0, 0, 60053, 359268352, 0, 0, 0,2013-09-26 03:05:25.472
unreach, 196.29.175.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:25.473
echoreply, 196.202.139.237, 85.25.0.0, 0, 52422, 859373568, 0, 0, 0,2013-09-26 03:05:25.493
timxceed, 196.29.186.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.520
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.579
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.600
echoreply, 196.29.191.242, 85.25.0.0, 0, 59367, 404226048, 0, 0, 0,2013-09-26 03:05:25.602
echoreply, 41.67.20.201, 85.25.0.0, 0, 56422, 597229568, 0, 0, 0,2013-09-26 03:05:25.604
echoreply, 197.254.213.91, 85.25.0.0, 0, 7193, 3823501312, 0, 0, 0,2013-09-26 03:05:25.616
echoreply, 41.67.21.97, 85.25.0.0, 0, 56889, 566624256, 0, 0, 0,2013-09-26 03:05:25.631
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.637
echoreply, 41.78.108.14, 85.25.0.0, 0, 12865, 3451781120, 0, 0, 0,2013-09-26 03:05:25.655
echoreply, 197.254.213.30, 85.25.0.0, 0, 35441, 1972240384, 0, 0, 0,2013-09-26 03:05:25.681
echoreply, 197.254.213.187, 85.25.0.0, 0, 63036, 163774464, 0, 0, 0,2013-09-26 03:05:25.698
echoreply, 197.254.212.25, 85.25.0.0, 0, 19164, 3038969856, 0, 0, 0,2013-09-26 03:05:25.705
timxceed, 196.29.186.146, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.735
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.756
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.756
timxceed, 41.67.59.6, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 03:05:25.775
unreach, 41.67.17.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:25.785
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 03:05:25.796
echoreply, 41.202.167.24, 85.25.0.0, 0, 29509, 2360999936, 0, 0, 0,2013-09-26 03:05:25.798
echoreply, 196.29.167.157, 85.25.0.0, 0, 43486, 1445003264, 0, 0, 0,2013-09-26 03:05:25.804
