response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
rst, 197.254.212.172, 85.25.0.0, 53, 33407, 0, 4287774446, 0, 0,2013-09-26 07:16:50.101
rst, 197.254.212.218, 85.25.0.0, 53, 58196, 0, 2343592460, 0, 0,2013-09-26 07:16:50.118
rst, 41.202.166.29, 85.25.0.0, 53, 33545, 0, 2791175881, 0, 0,2013-09-26 07:16:50.193
rst, 197.254.212.40, 85.25.0.0, 53, 56197, 0, 769566274, 0, 0,2013-09-26 07:16:50.263
rst, 41.202.161.141, 85.25.0.0, 53, 37973, 0, 4185832267, 0, 0,2013-09-26 07:16:50.275
rst, 196.29.163.35, 85.25.0.0, 53, 51420, 1, 1632763730, 0, 0,2013-09-26 07:16:50.309
rst, 41.202.166.112, 85.25.0.0, 53, 55370, 0, 3750236355, 0, 0,2013-09-26 07:16:50.340
rst, 41.67.1.23, 85.25.0.0, 53, 48182, 0, 81620533, 0, 0,2013-09-26 07:16:50.432
rst, 196.1.198.182, 85.25.0.0, 53, 42858, 0, 4121448326, 0, 0,2013-09-26 07:16:50.439
rst, 196.29.185.7, 85.25.0.0, 53, 46830, 0, 3489682083, 0, 0,2013-09-26 07:16:50.442
rst, 196.29.186.83, 85.25.0.0, 53, 59537, 0, 3605846854, 0, 0,2013-09-26 07:16:50.465
rst, 41.67.1.253, 85.25.0.0, 53, 39064, 0, 2231563353, 0, 0,2013-09-26 07:16:50.471
synack, 196.29.187.36, 85.25.0.0, 53, 58881, 1314737454, 3128963982, 0, 0,2013-09-26 07:16:50.540
rst, 41.202.160.167, 85.25.0.0, 53, 43684, 0, 3133507119, 0, 0,2013-09-26 07:16:50.548
rst, 196.29.163.47, 85.25.0.0, 53, 36217, 1, 706813100, 0, 0,2013-09-26 07:16:50.551
rst, 197.254.213.44, 85.25.0.0, 53, 34771, 0, 864431941, 0, 0,2013-09-26 07:16:50.619
rst, 41.67.21.18, 85.25.0.0, 53, 56409, 0, 4155108145, 0, 0,2013-09-26 07:16:50.634
